Timestamp," If repositories had a simple, easy to use GUI, alongside the current command line/GUI interfaces, would this encourage scientists to use them? ",Comments:,"Would it be helpful for the repository to 'track changes' to a script, so they don't have to be documented manually?  ",Comments:,Which of the following types of training or support would you find useful for learning to use repositories?   ,Comments:,"Would you like your institution to have a central repository, which could be used to store all data and code internally?",Comments:,"Having a cooperate account with gethub online repository, so everything is supported locally by the university and still can have public and private repository without being responsible for managing and maintaining the infrastructure. If the university takes this step, does something like this will promote you to publish your code in these repositories?",If no justify your answer please,"Would you like a central internal repository to be compatible with an external one, such as Github, so any code and data can be published externally when required, and anything updated in an external Github repository would automatically appear in the internal one? ",Comments:,In which of the following areas would you find training/support helpful?,Comments:,Do you think it would beneficial to offer this type of experience at other universities? ,Comments:,What level should this kind of course should be provided at?,Should this kind of course be optional or compulsory?,"Should the course to be provided internally, or by an expert body, such as Software Carpentry?","Do you think the course should be short and intensive, or spread out over a longer period? ",", Do you think this idea will encourage you to disseminate your experiments’ details and make it publically available? ",What about creating tools that have a repository role to store and share these snapshots images with other scientists? ,"A group of Cambridge computer scientists have set a new standard by which data centres became clickable and thus more efficient to facilitate reproducibility in research. By using cloud storage, the researchers have put nearly 200GB of data and 20,000 lines of code on to the internet and made it freely available to all under open-source license. Do you think it is beneficial to adopt this experience across UK universities? ",Comments:,Do you think this will have any effect on scientific reproducibility? ,Comments:,Would having access to research software engineers (developers who specialise in scientific software) on campus be something that could help scientists to produce code that they would be happy to publish?,"Would you want to become part of a research software engineering community, where people could discuss code publishing and open science?","providing some rewards for scientists who are trying to apply the open source licensing and reproducibility aspects in their scientific publications, does something like this will motivate you to start sharing your experiments’ details with others? ","Finally, do you have any other recommendations that may help scientists to publish code and data?",Would you be more inclined to focus on making analysis code and data available if more publishers required it?,Would you be interested in using this type of technology for your own research?,"Would you be interested in using this type of technology to rerun other people's research, or use their analysis code?",Comments:,Comments:,What is your job title?,What is your research area?
8/25/2015 14:25:10,Yes,,Yes,,,,No,,,,Yes,"There already are several different GUI interfaces for git, but they only reduce the learning barrier.",,,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Compulsory,Either,Short and intensive (over a few days),,,,,Yes,"VM style snapshots can help with reproducibility, but may undermine modification and extension.",Yes,Yes,,Help ensure institute IP policies do not undermine the efforts of scientists to share their software and data openly.,Yes,Yes,Yes,e,Plenty of researchers already discuss code publishing and open science online and in person (some conferences are aligned with this) ,Academic,Bioinformatics
8/25/2015 15:12:07,Yes,,Yes,,"Practical workshops., Online training",,No,,,,Yes,"We honestly do not have the capacity to support an institutional repository that would handle code, data, and publications.  I am instead pushing the use of public internet repositories like Figshare or Github.","Data management planning, Computational research skills","For my faculty, not for myself.",Yes,,"Undergraduate level, Masters level, Doctoral level",Compulsory,Internally,Short and intensive (over a few days),,,,,Maybe,"Depends on the accessibility of the software in question and if the ""snapshot"" it saves is in a long-term accessible format.  For example, some backup software saves the backup as a proprietary format.  If you lose your license to that software or it goes out of business you're SOL.  ",Yes,Yes,,Go take a Software Carpentry course.,Yes,Yes,Yes,,"Having a dedicated scientific computing person on campus would be like a dream come true. Right now it's just me, and only one small part of my overall job description.",Librarian,Sciences
8/25/2015 17:27:50,Yes,,Yes,,"Practical workshops., Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,No,,,,Yes,,"Data management planning, Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Masters level, Doctoral level",Compulsory,Either,Spread out over a few weeks,,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Research Assistant,Cognitive neuroscience
8/25/2015 17:28:36,No,,No,,Practical workshops.,,No,,,,Yes,"I have been pushing scientists to publish their code for years; the barriers are not technical - they are emotional. Scientists are almost universally scared and embarrassed to share their code, for fear of 'looking dumb' or unprofessional.","Data management planning, Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Compulsory,Internally,A semester or year course - no special status so it seems 'normal'.,,,,,No,"Not totally sure what you're referring to here, but I'm very wary of large, complicated frameworks; they are unmaintainable, inflexible and never universally adopted. I encourage people to use collections of smaller, simpler tools to achieve automated, reproducible results.",Yes,Yes,,need to develop a code and data citation framework so that publishing highly cited code and data is as valuable to career prospects as highly cited papers.,No because I already publish 100% of my code regardless,Yes,Yes,,"access to RSEs will help only if those RSEs take on  responsibilities like training and making code legible and accessible - again, the real challenge is fear, and a programmer who just makes fun of everyone's code will make things worse, not better.",Scientific software engineer,particle & nuclear physics
8/25/2015 16:41:23,Yes,,Yes,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,No,,,,No,,"Computational research skills, General software engineering skills",,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Compulsory for computational scientists.,Internally,Short and intensive (over a few days),,,,,,,Yes,Yes,,"Both code and data are valuable, so if we want scientists to publish them they need to be properly recognised as research outputs (including by the REF) and there needs to be a mechanism for commercialisation. Until then, the danger is that much of the code that would be published is of low quality.",No,No,No,,,Research Associate,Materials modelling
7/28/2015 17:23:46,Yes,,I dont know,,"Practical workshops., Online training, Regular School Seminars about practical issues around repositories.",,No,,,,No,It would be great to have a university-supported procedure to obtain infinite amounts of private repositories on GitHub.,Data management planning,,Yes,,"Doctoral level, Postdoctoral level",Optional,Either,Spread out over a few weeks,,,,,Yes,,dont know,Yes,,"Learn the tools BEFORE you need them! Usually when the time comes for publishing your code, you are on a tight schedule, and too stressed to learn the required skills!",Yes,Yes,Yes,,,PhD student,Ontology Reasoning
8/25/2015 14:35:52,github?,,,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features",,No,,,,Yes,,"Data management planning, Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Masters level, Doctoral level, Postdoctoral level",Optional,Either,Spread out over a few weeks,,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Academic,Infectious diseases
8/25/2015 15:16:01,Yes,,"No - commits should provide a ""high view"" on changes",,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,No,,,,Yes,,"Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Masters level, Doctoral level, Postdoctoral level",Optional,Either,Short and intensive (over a few days),,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Senior research fellow,mathematics
8/25/2015 15:41:34,Yes,,Yes,,"Practical workshops., Online training",,No,,,,No,,"Data management planning, Computational research skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Optional,Either,Spread out over a few weeks,,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,PostDoc,Biology
8/25/2015 16:09:29,Yes,,Yes,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,No,,,,Yes,,"Data management planning, Computational research skills, Awareness about open source licensing systems",,Yes,,"Masters level, Doctoral level, Postdoctoral level",Optional,Either,Short and intensive (over a few days),,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Research Associate,Genomics
8/25/2015 18:04:43,No,,No,,I provide such training,,No,,,,Yes,It is worth noting that I already make my code available online as it is developed via publicly accessible version control systems.,,,Yes,,Doctoral level,Optional,By an expert body,Short and intensive (over a few days),,,,,No,,Yes,Yes,,"I don't think the difficulty is the tools or knowledge, it's the promotion and hiring culture inside academic departments and universities. If software was properly credited (e.g. via a REF return and the resulting HEFCE QR income) all code would be available quickly.",Yes,No,No,,,Academic,Geophysics
8/3/2015 1:00:54,No,,No,,,,No,,,,No,"The barriers are not technical, but social.",,,Yes,,Professor,Compulsory,By an expert body,Short and intensive (over a few days),,,,,Mild,,,,,,,,Yes,Social system is set at professor level. Pointless to train lower.,,Academic,Computer science
8/25/2015 18:04:57,Yes,,Yes,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,"no, as long as there was one on the cloud where I could keep things private",,,,Yes,,"Data management planning, Computational research skills, General software engineering skills",,Yes,,"Undergraduate level, Masters level, Doctoral level",Compulsory,"expert body, e.g. Software Carpentry, until expertise is set-up internally (I think internally is more sustainable over the long-term)",Spread out over a few weeks,,,,,,,Yes,Yes,,,Yes,Yes,Yes,,,postdoc,Biology
7/28/2015 10:00:25,We already use online code repositories (bitbucket mainly as it allows to have private repositories),,No,,No need for training. It is a matter of software engineering principles that should have been covered at the undergraduate level,,"No, I would like the university to purchase bitbucket accounts for every student and academic member",,,,,,,,We cover this at Manchester in http://studentnet.cs.manchester.ac.uk/pgt/COMP60621/,,Masters level,Optional as PhD students in theory based domains will find it irrelevant,,Short and intensive (over a few days),,,,,No,,"the problem is not producing the code per se. It is maintaining it and having a good support. Yes, having professional developers and professional system administrators will help. When you are measuring performance being able to modify the OS kernel and compilers used can have a big impact. Thus, having a rigid system administration that only supports one configuration of Linux is not helpful.",,,"Publishing code should be the decision of the research scientist. There are clear benefits for publishing the software code, but it should not be compulsory as there are clear cases (commercialisation and interaction with industry) where good science is done but it is not advisable and cannot be accepted to release the software.","No, I am completely against forcing the release of source code being compulsory. In my research area where industrial research is relevant it would hinder industry from participating and sharing the community.  ",No,Yes,,"In addition, publishing code for hardware (e.g. verilog) will prevent commercial exploitation",Senior Research Fellow,Computer Systems Research for many-cores 
7/27/2015 22:07:56,Yes,,Yes,,Clearly written guides / how-to documents,,"perhaps, depending on the policies adopted with it... see next question",,,,Yes,"Your last question is incredibly loaded... 
The issue of internal repository is rather complex. In principle we only need such a thing in order to have control over our own data (a good thing), but I predict that University Administration will soon want to get rid of the cost of maintaining it and will eventually outsource the whole thing (eg github, but could be a worse one...). Then the only issue is being able to have private repositories which the University would have to pay for. In the long run it may be better to propose using GitHub right away as long as the University pays for allowing us to have private repositories.",none,"I don't need training in the above as I have had already, but others may find any of the above useful",Yes,,"Undergraduate level, Masters level",Compulsory at MSc level,Either,Short and intensive (over a few days),,,,,Yes,"You must be referring to the Docker approach, though other VM technology could also be useful. The only (big) problem with this approach is that the way in which it is implemented has an enormous security problem. Who is patching their Docker images when there is a new important security patch? Researchers in IT security have been talking about this, but the hype is blinding people...",Yes,would like but not able to commit much time,,,Yes,Yes,Yes,,This will only happen when publisher demand and enforce this requirement,Academic,Computational biology
8/25/2015 21:36:08,it would encourage some scientists,,Yes,,advice from a more senior scientist in my field who's actually done it,,we already do,,,,,,"Data management planning, Computational research skills, General software engineering skills",,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Optional,Either,Short and intensive (over a few days),,,,,,,Are most scientists advanced enough to write code that others could use? Many of us write one-off scripts.,Yes,,,Yes,Yes,Yes,,,PhD student,genomics
7/28/2015 12:55:50,Yes,,Yes,,"Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,General software engineering skills,,Yes,,"Undergraduate level, Masters level",Optional,Either,Short and intensive (over a few days),,,,,Yes,,Yes,Depends on how much time that would take up,,"To help younger researchers (such as myself) quickly come up to speed with the current state-of-the-art, a chance to read and run code would be fantastic.",No,Yes,Yes,,,PhD student,Integration of spintronic devices to CMOS
7/28/2015 10:50:23,"Some scientists, but I think anyone who can code should be ok with the command line",,Yes,,"Online training, Written documentation, i.e. man pages",,Yes,,,,Yes,"Any internal repository should absolutely definitely be implemented using an existing, widely used version control system. Then you get ""track changes"", massive amounts of documentation, and integration with external repositories ""for free"". 

Even better: researchers who currently use version control systems will barely need to change their workflows.",Data management planning,I've read a lot about the other topics already.,Yes,,"Masters level, Doctoral level",Compulsory,Either,Spread out over a few weeks,,,,,Yes,,Yes,"I'm probably leaving academia now, but if I wasn't: absolutely.",,,Yes,Yes,Yes,,,PhD student,Computational physics/maths
7/28/2015 0:28:11,I don't think the current interfaces are difficult to use.,,Sorry - I don't understand the question.  Source code repositories already do track changes to things like scripts.,,N/A,,Yes,,,,"Standards are good.  I don't want to have to maintain two copies, though.  Why not just have a public interface to the central internal repository?",,"Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Masters level, Doctoral level, Postdoctoral level",Compulsory at PhD level.,Either,,,,,,Yes,,Yes,"It sounds great, but finding the time to get involved is a problem, amongst all the other pressures on our time.",,,Yes,Yes,Yes,"Spread out is better as more could be covered, but is probably less achievable due to tight availability of resources.",,Academic,information management
7/28/2015 10:41:21,Yes,,Yes,,"Practical workshops., Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,Awareness about intellectual properties issues,,Yes,,"Masters level, Doctoral level",Compulsory,Internally,Short and intensive (over a few days),,,,,Yes,,Yes,No,,,No,No,Yes,,"Only if the top conferences I'm targetting demand it. Otherwise, I will keep my code secret, but my theory and method public and published.",PhD student,Computer Vision
7/28/2015 8:49:20,Yes,,Yes,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,"Data management planning, Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Masters level, Doctoral level",Compulsory,Internally,Short and intensive (over a few days),,,,,Yes,,Yes,No,,No.,No,Yes,Yes,,,Academic,Data Management
7/28/2015 10:06:27,Yes,,Yes,,Would prefer to have repositories that need no training and they are intituitve to use!,,Yes,,,,Yes,,"Data management planning, Computational research skills, General software engineering skills",,Yes,,"Masters level, Doctoral level, Postdoctoral level",Compulsory,By an expert body,Short and intensive (over a few days),,,,,Yes,,Yes,No,,,Yes,Yes,Yes,,,Academic,Web Engineering
7/29/2015 16:53:05,Depend on person,,Don't know,,"Guidance/details about the various types of repositories and their features, Well written manual",,Yes,,,,Yes,Option does no harm.,,,Yes,,Doctoral level,Optional,Either,Completed over a time period suiting the student,,,,,Yes,"Most of my immediate 'research' work is development, not result taking; thus this is not applicable.",Yes,No,,,Yes,No,No,,,Academic,hardware/architecture/SoC
7/27/2015 21:45:45,No,,No,,Online training,,Yes,,,,Yes,,,,Yes,,Doctoral level,Optional,no opinion,Short and intensive (over a few days),,,,,Yes,,Yes,No,,,Yes,Yes,Yes,,,Research Associate,Knowledge Representation
8/15/2015 15:53:04,Yes,,No,,,,Yes,,,,Yes,,,,Yes,,"Undergraduate level, Masters level, Doctoral level",Optional,Either,Completed over a time period suiting the student,,,,,Yes,,Yes,No,,,Yes,Yes,Yes,,,Academic,medical statistics
8/15/2015 14:52:12,Yes,,Yes,,Online training,,Yes,,,,Yes,,"Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Doctoral level, Postdoctoral level, Academics",Optional,Either,Completed over a time period suiting the student,,,,,Yes,,Yes,perhaps,,,Yes,Yes,Yes,"I am not familiar with Software Carpentry so I was not sure how to answer the 4th question.

I'd like to point out that scientific reproducibillity is about much more than software.","If publishers required it ... that's a no-brainer.

Problem is that currently publishers hardly know what they (should) want/need.",Academic,health informatics
7/28/2015 12:10:00,Yes,,Yes,,Online training,,Yes,,,,Yes,you'll need settings to include an option to be asked whether you'd like to sync the two repositories automatically or manually. ,don't feel like i need training,,i am not sure a formal course needs to exist but importance of reproducibility should definitely be stressed,,"Masters level, Doctoral level",Optional,Internally,Completed over a time period suiting the student,,,,,Yes,"of course, if you can literally run other people's experiments. it means however that you just have to blindly trust their code. how useful this might be depends on how much you can look under the hood.","possibly. depends on how good the researchers' programming skills are to start with. it might definitely be beneficial for occasional users, who are not too confident in their coding.",possibly,,,Yes,No,Yes,i don't think there is enough material for a whole course. the idea of reproducibility is simple and there are just a few steps one needs to take to ensure once research is reproducible (as far as code is concerned). dedicating a whole course to it would be forced and most likely 'teaching' pretty obvious things. ,,Research Associate,"machine learning, data mining, bioinformatics"
7/28/2015 10:36:00,No,,Yes,,Guidance/details about the various types of repositories and their features,,Yes,,,,Yes,,"Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",My students/RAs would benefit from the above.,Yes,,Postdoctoral level,Optional,Internally,Short and intensive (over a few days),,,,,Yes,,Yes,Possibly - depends on time available,,,Yes,Possibly - depends how hard it is,Potentially useful to my team,,"I publish some of my code, but not all.
Main reasons for not publishing:
a) Some elements licensed commercially with exclusivity clauses in a field, making it hard for us to publish that, as we can't police how it gets used.  We are trying to avoid such clauses in future.
b) Time to tidy up code and document it sufficiently for a general audience
c) Code may be evolving quickly and never quite gets to a ""finished"" state
d) If we publish core components, it makes it harder for us to make significant changes. Occasionally we have a ""big bang"" where we make significant revisions to our infrastructure - if groups elsewhere are using it such changes could impact on them in unexpected ways, so we are less likely to do that. ",Academic,Computer Vision
7/27/2015 22:00:46,Yes,,Yes,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features",,Yes,,,,Yes,,"Data management planning, Computational research skills, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Undergraduate level, Masters level, Doctoral level, Postdoctoral level",Compulsory,Either,Short and intensive (over a few days),,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Academic,computer graphics
7/28/2015 10:50:40,Yes,,Yes,,Online training,,Yes,,,,Yes,,"Data management planning, Awareness about open source licensing systems",,Yes,,"Doctoral level, Postdoctoral level",Compulsory,By an expert body,Short and intensive (over a few days),,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Academic,Ontological Engineering
7/27/2015 22:21:05,Yes,,How's this different from git different and blame? ,,"Practical workshops., A glossary of the terminologies relating to repositories",,Yes,,,,Yes,I released most of my PhD code via mloss.org and github. The main burden was in making the code cross platform and dealing with questions from users. ,"Computational research skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",In general using academic code in industry is hard as it frequently lacks a license for either the code and/or the data.,Yes,,"Masters level, Doctoral level",Compulsory,Either,Spread out over a few weeks,,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Industrial Researcher,Feature selection
7/27/2015 22:03:08,Yes,,Yes,,"Practical workshops., Online training, A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,"Data management planning, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Masters level, Doctoral level, Postdoctoral level",Compulsory,By an expert body,Spread out over a few weeks,,,,,Yes,,Yes,Yes,,Do it. It's your duty.,Yes,Yes,Yes,,,PhD student,Text mining
7/28/2015 11:01:59,Yes,,No,,"Practical workshops., A glossary of the terminologies relating to repositories",,Yes,,,,Yes,,"Data management planning, General software engineering skills, Awareness about intellectual properties issues, Awareness about open source licensing systems",,Yes,,"Masters level, Doctoral level, Postdoctoral level",Compulsory,By an expert body,Short and intensive (over a few days),,,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,PhD student,Computer Science
7/28/2015 11:19:28,Yes,,,,"Practical workshops., Online training, Guidance/details about the various types of repositories and their features",,Yes,,,,Yes,,"Data management planning, Computational research skills",,Yes,,"Masters level, Doctoral level, Postdoctoral level",Compulsory,Either,Spread out over a few weeks,,,,,Yes,,Yes,Yes,,,No,Yes,Yes,,,PhD student,Machine Learning
